module_id,season_id,lesson_id,lesson_number,lesson_title,youtube_url,youtube_id,category,is_supplementary,document_id,order_index
99,20,1001,1,How To Type: Donald J Trump Edition | CS Joseph,https://www.youtube.com/watch?v=DA9JelaDVaI,DA9JelaDVaI,Typing Famous People,1,,1
99,20,1002,2,How To Type: Elon Musk Edition | CS Joseph,https://www.youtube.com/watch?v=oacwR48KBvA,oacwR48KBvA,Typing Famous People,1,,2
99,20,1003,3,How To Type: Alex Jones Edition,https://www.youtube.com/watch?v=lHZq2-lIq_o,lHZq2-lIq_o,Typing Famous People,1,,3
99,20,1004,4,How To Type Taylor Swift | Taylor Swift MBTI personality type | CS Joseph,https://www.youtube.com/watch?v=-Wo5MRmstS8,-Wo5MRmstS8,Typing Famous People,1,,4
99,20,1005,5,How To Type: Kanye West Edition,https://www.youtube.com/watch?v=XHGAt5PLWx0,XHGAt5PLWx0,Typing Famous People,1,,5
99,20,1006,6,How To Type: Eminem Edition,https://www.youtube.com/watch?v=5ves_Bo85EA,5ves_Bo85EA,Typing Famous People,1,,6
99,20,1007,7,How To Type: JK Rowling Edition,https://www.youtube.com/watch?v=NOug5DxEIqE,NOug5DxEIqE,Typing Famous People,1,,7
99,20,1008,8,"How To Type: Dwayne ""The Rock"" Johnson Edition",https://www.youtube.com/watch?v=XshWfEAhJ2M,XshWfEAhJ2M,Typing Famous People,1,,8
99,20,1009,9,How To Type...Keanu Reeves | How to type Famous People | CS Joseph,https://www.youtube.com/watch?v=dhKVu_13iPk,dhKVu_13iPk,Typing Famous People,1,,9
99,20,1010,10,How to Type: Neil deGrasse Tyson Edition,https://www.youtube.com/watch?v=P2PJwaDJhfU,P2PJwaDJhfU,Typing Famous People,1,,10
99,20,1011,11,How To Type: John Cleese,https://www.youtube.com/watch?v=0b14_baWMBg,0b14_baWMBg,Typing Famous People,1,,11
99,20,1012,12,How To Type: Oprah Winfrey,https://www.youtube.com/watch?v=pURhaBSb_x0,pURhaBSb_x0,Typing Famous People,1,,12
99,20,1013,13,How To Type: Ben Shapiro & Jordan Peterson | CS Joseph,https://www.youtube.com/watch?v=mTCXgL5e6Ac,mTCXgL5e6Ac,Typing Famous People,1,,13
99,20,1014,14,How to Type: Dr. Phil & Gordon Ramsey Edition,https://www.youtube.com/watch?v=OTw2huSlBGQ,OTw2huSlBGQ,Typing Famous People,1,,14
99,20,1015,15,How To Type: Steve Irwin Edition,https://www.youtube.com/watch?v=THOlrYS0h8w,THOlrYS0h8w,Typing Famous People,1,,15
99,20,1016,16,"How To Type: Aaliyah, Mark Zuckerberg, Elizabeth Holmes & more",https://www.youtube.com/watch?v=DOnLRdVPg5k,DOnLRdVPg5k,Typing Famous People,1,,16
99,20,1017,17,"How To Type: Michio Kaku, Grimes, Leo Gura, Ethan Klein & more",https://www.youtube.com/watch?v=AU9l5ABS5bY,AU9l5ABS5bY,Typing Famous People,1,,17
99,20,1018,18,"How To Type: Kurt Cobain, Brandon Boyd, Pamela Adlon & more",https://www.youtube.com/watch?v=aR4wbPUuCdk,aR4wbPUuCdk,Typing Famous People,1,,18
99,20,1019,19,"How To Type: Gwynne Shotwell, Billie Eilish, Jeffree Star & more",https://www.youtube.com/watch?v=Uy3VhchzCCw,Uy3VhchzCCw,Typing Famous People,1,,19
99,20,1020,20,"How To Type: Jack White, David Mitchell, Brian Cox, Malcolm X & more",https://www.youtube.com/watch?v=CwyiGMD9LN8,CwyiGMD9LN8,Typing Famous People,1,,20
99,20,1021,21,"How To Type: PewDiePie, Alan Watts, Mariah Carey, Tyler the Creator & more | CS Joseph",https://www.youtube.com/watch?v=HbvF1CQyHlM,HbvF1CQyHlM,Typing Famous People,1,,21
99,20,1022,22,"How To Type: Steven Wilson, Lloyd Evans, Mat Kerekes, Filthy Frank (Joji) & more",https://www.youtube.com/watch?v=dlAPOYCh_ow,dlAPOYCh_ow,Typing Famous People,1,,22
99,20,1023,23,"How To Type: Tim Cook, Charles Ross, Mike Einziger, Hayley Williams, Al Gore, Marina & more",https://www.youtube.com/watch?v=37QbYkJDEbs,37QbYkJDEbs,Typing Famous People,1,,23
